Time (s) 20g 1	Angular Velocity (rad/s) 20g 1	Angular Velocity (rad/s) 20g 2	Angular Velocity (rad/s) 20g 3	Angular Velocity (rad/s) 20g 4	Angular Velocity (rad/s) 20g 5
0.5	-0.931	0.058	0.465	0.756	0.64
1	-1.396	0.582	0.873	1.222	1.164
1.5	-1.804	0.931	1.28	1.571	1.513
2	-2.211	1.396	1.745	1.978	1.92
2.5	-2.676	1.745	2.094	2.269	2.327
3	-3.142	2.153	2.502	2.734	2.734
3.5	-3.491	2.502	2.909	3.142	3.025
4	-4.014	2.967	3.316	3.549	3.432
4.5	-4.363	3.316	3.723	3.84	3.84
5	-4.829	3.723	4.072	4.305	4.247
5.5	-5.178	4.072	4.422	4.654	4.654
6	-5.701	4.422	4.771	5.003	4.945
6.5	-6.109	4.887	5.236	5.352	5.411
7	-6.458	5.178	5.585	5.76	5.701
7.5	-6.807	5.585	5.934	6.109	6.109
8	-6.981	6.05	6.283	6.458	6.458
8.5	-6.981	6.283	6.632	6.749	6.807
