Time (s) 40g 1	Angular Velocity (rad/s) 40g 1	Angular Velocity (rad/s) 40g 2	Angular Velocity (rad/s) 40g 3	Angular Velocity (rad/s) 40g 4	Angular Velocity (rad/s) 40g 5
0.5	0.465	0.175	0.291	0.175	0.407
1	1.338	0.931	1.222	1.105	1.222
1.5	2.153	1.862	2.094	1.978	2.036
2	3.025	2.734	2.967	2.909	2.851
2.5	3.84	3.549	3.723	3.665	3.665
3	4.712	4.363	4.596	4.538	4.596
3.5	5.469	5.178	5.411	5.411	5.352
4	6.283	5.992	6.225	6.167	6.225
4.5	7.098	6.807	7.156	7.098	6.981
5	7.912	7.563	7.854	7.912	7.796
5.5	8.727	8.378	8.61	8.668	8.552
6	9.483	9.134	9.483	9.425	9.367
